phase,fold,epoch,loss,accuracy,learning_rate,train_loss,val_loss
1.0,1.0,1.0,,0.10761366693570083,0.0001,2.301459936385459,2.292024850845337
1.0,1.0,2.0,,0.19748291012131072,0.0001,4.5773849233667905,2.2810723781585693
1.0,1.0,3.0,,0.24712634971332562,0.0001,6.830449977834174,2.267338275909424
1.0,1.0,4.0,,0.41706496671601356,0.0001,9.050650845182703,2.249441623687744
1.0,1.0,5.0,,0.4321783677715881,0.0001,11.238574414557599,2.224238157272339
1.0,1.0,6.0,,0.5707742351810149,0.0001,13.392747584809648,2.1910552978515625
1.0,1.0,7.0,,0.5596302667090304,0.0001,15.508738954016502,2.1516549587249756
1.0,1.0,8.0,,0.5287608813032543,1e-05,17.592065395192897,2.152280807495117
1.0,1.0,9.0,,0.49684811917193716,1e-05,19.669655539127106,2.145993232727051
1.0,1.0,10.0,,0.5969437065648432,1e-05,21.743633502594967,2.145667552947998
1.0,1.0,11.0,,0.5955701078582435,1e-05,23.81764549600317,2.1391515731811523
1.0,1.0,12.0,,0.6042749623258098,1e-05,25.887287737460845,2.1359493732452393
1.0,1.0,13.0,,0.6432751805633161,1e-05,27.950306560638104,2.1367228031158447
1.0,1.0,14.0,,0.6464012723733561,1e-05,30.01001332972912,2.123199224472046
1.0,1.0,15.0,,0.702144089432225,1.0000000000000002e-06,32.06643754370669,2.127976417541504
1.0,1.0,16.0,,0.6807909604519774,1.0000000000000002e-06,34.11677415827487,2.1368274688720703
1.0,1.0,17.0,,0.676586266840504,1.0000000000000002e-06,36.167711924492046,2.132688283920288
1.0,1.0,18.0,,0.7212950890916991,1.0000000000000002e-06,38.22375378304339,2.1352834701538086
1.0,1.0,19.0,,0.7138732736190363,1.0000000000000002e-06,40.27258227733856,2.136321783065796
1.0,1.0,20.0,,0.6696675541142141,1.0000000000000002e-06,42.32151496866916,2.127582311630249
1.0,2.0,1.0,,0.9487094272737343,0.0001,2.075765722355944,1.9921847581863403
1.0,2.0,2.0,,0.9477250067977886,0.0001,4.09671646483401,1.9447861909866333
1.0,2.0,3.0,,0.9319746513643083,0.0001,6.071710036663299,1.8977395296096802
1.0,2.0,4.0,,0.9274557280539335,0.0001,7.995269748505126,1.848606824874878
1.0,2.0,5.0,,0.9323961736723452,0.0001,9.878865796961684,1.8130930662155151
1.0,2.0,6.0,,0.9477250067977886,0.0001,11.726163572960711,1.7728396654129028
1.0,2.0,7.0,,0.9333439076709266,0.0001,13.538616537033244,1.7334599494934082
1.0,2.0,8.0,,0.9144680178578483,1e-05,15.324855893723509,1.7527364492416382
1.0,2.0,9.0,,0.9477250067977886,1e-05,17.1123623913907,1.7473970651626587
1.0,2.0,10.0,,0.9495165297757521,1e-05,18.892046524616,1.7604647874832153
1.0,2.0,11.0,,0.9486389316897791,1e-05,20.673673778899172,1.7661548852920532
1.0,2.0,12.0,,0.93114271902906,1e-05,22.45223493170231,1.7660211324691772
1.0,2.0,13.0,,0.9310448884227549,1e-05,24.223310427462803,1.7660976648330688
1.0,2.0,14.0,,0.9310241934868057,1e-05,25.99532216559065,1.7644840478897095
1.0,2.0,15.0,,0.9133486486926168,1.0000000000000002e-06,27.761604314154766,1.7798686027526855
1.0,2.0,16.0,,0.9176755447941888,1.0000000000000002e-06,29.52704354549976,1.7844327688217163
1.0,2.0,17.0,,0.9333439076709266,1.0000000000000002e-06,31.294267711233587,1.7737253904342651
1.0,2.0,18.0,,0.9661016949152542,1.0000000000000002e-06,33.05255845404686,1.7777446508407593
1.0,2.0,19.0,,0.9656585798161073,1.0000000000000002e-06,34.8237646107978,1.7864794731140137
1.0,2.0,20.0,,0.9656585798161073,1.0000000000000002e-06,36.583666455999335,1.796218991279602
1.0,3.0,1.0,,0.9322384812436397,0.0001,1.7884568615162626,1.7185437679290771
1.0,3.0,2.0,,0.9491525423728814,0.0001,3.5395528823771376,1.6761806011199951
1.0,3.0,3.0,,0.9288135593220338,0.0001,5.250314480700391,1.6608514785766602
1.0,3.0,4.0,,0.8835024129404146,0.0001,6.934958840938324,1.6681654453277588
1.0,3.0,5.0,,0.9491525423728814,0.0001,8.597387953007475,1.6271936893463135
1.0,3.0,6.0,,0.8684566886482878,0.0001,10.229207596880324,1.6002824306488037
1.0,3.0,7.0,,0.9145449653924231,0.0001,11.84427237206317,1.5753235816955566
1.0,3.0,8.0,,0.9164792875183442,1e-05,13.441954198289425,1.5938966274261475
1.0,3.0,9.0,,0.9288135593220338,1e-05,15.040353071943242,1.5834366083145142
1.0,3.0,10.0,,0.9133709981167609,1e-05,16.635903202726485,1.6060705184936523
1.0,3.0,11.0,,0.9491525423728814,1e-05,18.231637837531718,1.58571457862854
1.0,3.0,12.0,,0.9669491525423728,1e-05,19.825803505106176,1.6071714162826538
1.0,3.0,13.0,,0.8981831351322878,1e-05,21.420199095949215,1.6265994310379028
1.0,3.0,14.0,,0.9324868204750298,1e-05,23.01040358391214,1.6190576553344727
1.0,3.0,15.0,,0.9324868204750298,1.0000000000000002e-06,24.594466513775764,1.6010489463806152
1.0,3.0,16.0,,0.9491525423728814,1.0000000000000002e-06,26.183472675465524,1.599411129951477
1.0,3.0,17.0,,0.9491525423728814,1.0000000000000002e-06,27.77443031250162,1.5940381288528442
1.0,3.0,18.0,,0.9331450094161959,1.0000000000000002e-06,29.359479446106768,1.605063557624817
1.0,3.0,19.0,,0.9491525423728814,1.0000000000000002e-06,30.94463171045831,1.6053348779678345
1.0,3.0,20.0,,0.9669491525423728,1.0000000000000002e-06,32.52984871712137,1.6071432828903198
1.0,4.0,1.0,,1.0,0.0001,1.6092536515377938,1.5640431642532349
1.0,5.0,1.0,,0.9823854306612927,0.0001,1.59532373840526,1.5657570362091064
1.0,5.0,2.0,,0.9636363636363636,0.0001,3.16217406927529,1.5579432249069214
1.0,5.0,3.0,,0.9823854306612927,0.0001,4.722684995602753,1.5477951765060425
1.0,5.0,4.0,,0.9823854306612927,0.0001,6.2630196244029674,1.5456337928771973
1.0,5.0,5.0,,0.9477074649488443,0.0001,7.789656570402243,1.5557087659835815
1.0,5.0,6.0,,0.9655172413793104,0.0001,9.316829234866773,1.5327585935592651
1.0,5.0,7.0,,0.9655172413793104,0.0001,10.8366471508802,1.5384854078292847
1.0,5.0,8.0,,0.9827586206896551,1e-05,12.347186244140238,1.5462095737457275
1.0,5.0,9.0,,0.9823854306612927,1e-05,13.857026682061663,1.5314830541610718
1.0,5.0,10.0,,0.9823854306612927,1e-05,15.37032970937632,1.5182102918624878
1.0,5.0,11.0,,0.9823854306612927,1e-05,16.879525926153537,1.5319654941558838
1.0,5.0,12.0,,0.9823854306612927,1e-05,18.388047315306583,1.5194780826568604
1.0,5.0,13.0,,1.0,1e-05,19.890766214516205,1.5324175357818604
2.0,1.0,1.0,,0.19574053397582808,0.0001,2.726019404608489,2.902390480041504
2.0,1.0,2.0,,0.32903173884389897,0.0001,5.29820598731061,2.768669366836548
2.0,1.0,3.0,,0.5061070072154558,0.0001,7.763571305616998,2.668948173522949
2.0,1.0,4.0,,0.5992052917244733,0.0001,10.148949096977459,2.5871660709381104
2.0,1.0,5.0,,0.5888840480659561,0.0001,12.468338954297803,2.5425405502319336
2.0,1.0,6.0,,0.7146427376654763,0.0001,14.73231576062456,2.4841113090515137
2.0,1.0,7.0,,0.7036214917527195,0.0001,16.951866304824122,2.4402341842651367
2.0,1.0,8.0,,0.7391601556078491,1e-05,19.137754567061798,2.45200514793396
2.0,1.0,9.0,,0.6854008269974656,1e-05,21.32013652294497,2.455660820007324
2.0,1.0,10.0,,0.7484037657295195,1e-05,23.501067616265534,2.4574131965637207
2.0,1.0,11.0,,0.7374826178784605,1e-05,25.674191560423324,2.4481871128082275
2.0,1.0,12.0,,0.765852686885806,1e-05,27.84353095972085,2.4551262855529785
2.0,1.0,13.0,,0.7248495476622022,1e-05,30.00815023450409,2.4562911987304688
2.0,1.0,14.0,,0.7606475868111792,1e-05,32.171026593019185,2.4387669563293457
2.0,1.0,15.0,,0.6790118071520106,1.0000000000000002e-06,34.333619606645804,2.457737684249878
2.0,1.0,16.0,,0.7616946778711483,1.0000000000000002e-06,36.49145036407664,2.4508140087127686
2.0,1.0,17.0,,0.7259065534893513,1.0000000000000002e-06,38.650603070037775,2.46321964263916
2.0,1.0,18.0,,0.7462882479194886,1.0000000000000002e-06,40.811428658569916,2.4444148540496826
2.0,1.0,19.0,,0.7511879714178281,1.0000000000000002e-06,42.96751586897967,2.456801414489746
2.0,1.0,20.0,,0.7814459116980124,1.0000000000000002e-06,45.123407013808624,2.4443933963775635
2.0,2.0,1.0,,0.8003297765590608,0.0001,2.185976146142694,2.346208095550537
2.0,2.0,2.0,,0.8529312177359631,0.0001,4.3096494020791996,2.324174404144287
2.0,2.0,3.0,,0.8635104612327081,0.0001,6.398053571644715,2.3087992668151855
2.0,2.0,4.0,,0.8409592510497889,0.0001,8.455224522055452,2.289384365081787
2.0,2.0,5.0,,0.8625868529229873,0.0001,10.483009711096559,2.272298574447632
2.0,2.0,6.0,,0.8359229609847504,0.0001,12.486496027511887,2.245009422302246
2.0,2.0,7.0,,0.8337392068549547,0.0001,14.47305637572888,2.255542039871216
2.0,2.0,8.0,,0.8507978855300447,1e-05,16.45418958472803,2.2398972511291504
